date,nb,for_rent,disabled,reserved,no_station
1676816655,484,386,0,0,84
1676932616,498,430,0,0,94
1676935913,497,416,0,0,101
1676940144,503,421,0,0,102
1676945846,528,440,0,0,78
1676949261,556,455,0,0,77
1676952570,524,434,0,0,65
1676956040,515,427,0,0,62
1676959819,542,474,0,0,64
1676963233,543,492,0,0,65
1676967011,537,509,0,0,57
1676970476,547,507,0,0,61
1676974077,533,502,0,0,69
1676977609,526,495,0,0,68
1676981633,515,486,0,0,67
1676985411,504,477,0,0,65
1676988453,507,484,0,0,62
1676992082,533,494,0,0,86
1676995757,545,501,0,0,77
1676999220,513,459,0,0,78
1677002958,509,449,0,0,85
1677006371,554,497,0,0,98
1677010087,562,499,0,0,109
1677013608,592,525,0,0,104
1677017258,583,521,0,0,103
1677020851,583,518,0,0,102
1677026259,587,521,0,0,93
1677032139,609,520,0,0,89
1677035535,614,530,0,0,72
1677038972,601,512,0,0,72
