date,nb,ready,renting,returning,not_installed,not_renting,not_returning
1676818620,117,70,70,113,0,47,0
1676932617,117,86,88,113,0,29,2
1676935915,117,82,83,113,0,34,1
1676940175,117,85,87,112,0,30,2
1676945822,117,96,96,114,0,21,0
1676949263,117,94,96,113,0,21,2
1676952572,117,95,95,114,0,22,0
1676956006,117,93,94,114,0,23,1
1676959820,117,92,92,112,0,25,0
1676963222,117,91,92,112,0,25,1
1676967033,117,86,86,110,0,31,0
1676970438,117,77,77,110,0,40,0
1676974073,117,80,82,109,0,35,2
1676977610,117,82,84,110,0,33,2
1676981611,117,85,88,110,0,29,3
1676985425,117,89,91,112,0,26,2
1676988455,117,85,87,113,0,30,2
1676992023,117,92,92,115,0,25,0
1676995758,117,87,90,113,0,27,3
1676999222,117,89,89,116,0,28,0
1677002980,117,93,94,116,0,23,1
1677006373,117,89,90,113,0,27,1
1677010107,117,95,96,113,0,21,1
1677013587,117,92,95,111,0,22,3
1677017238,117,96,97,112,0,20,1
1677020833,117,88,89,112,0,28,1
1677026243,117,86,87,112,0,30,1
1677032141,117,84,85,112,0,32,1
1677035524,117,88,89,112,0,28,1
1677038974,117,88,89,113,0,28,1
1677042445,117,85,86,113,0,31,1
1677046236,117,91,91,113,0,26,0
1677049646,117,97,97,113,0,20,0
1677053416,117,86,87,111,0,30,1
1677056899,117,88,90,111,0,27,2
1677060489,117,87,88,110,0,29,1
1677063964,117,95,95,112,0,22,0
1677068074,117,95,96,112,0,21,1
1677071847,118,100,101,114,0,17,1
1677074837,118,95,96,113,0,22,1
1677078442,118,93,93,113,0,25,0
1677082168,118,92,93,114,0,25,1
1677085588,118,97,98,115,0,20,1
