date,bikes_nb,for_rent,disabled,reserved,no_station
1748739970,1238,1001,120,0,111
1748748295,1277,1043,118,0,108
1748752038,1268,1038,119,0,106
1748754694,1267,1022,121,0,118
1748758496,1236,1010,121,0,101
1748761815,1214,975,125,0,104
1748765614,1146,903,120,0,117
1748768991,1090,851,122,0,103
1748772608,1064,832,127,0,101
1748776045,1087,844,141,0,95
1748780326,1079,815,155,0,98
1748784005,1033,767,168,0,95
1748786898,1020,740,178,0,100
1748790577,1000,712,185,0,101
1748794316,953,647,196,0,100
1748797691,877,554,215,0,99
1748801610,978,640,220,0,107
1748804865,1036,733,195,0,100
1748808664,1116,813,196,0,95
1748812101,1175,855,200,0,106
1748815779,1203,883,199,0,109
1748819396,1243,921,203,0,108
1748825849,1268,941,204,0,111
1748832483,1261,943,203,0,106
1748835921,1259,939,206,0,103
1748838093,1252,937,206,0,99
1748841170,1218,888,210,0,110
1748844974,1115,825,166,0,115
1748848294,1081,796,160,0,102
1748852156,1034,832,102,0,83
1748855535,1059,860,85,0,98
1748859097,942,768,70,0,93
1748862593,960,782,57,0,98
1748866906,1002,810,65,0,91
1748870731,1005,884,34,0,78
1748873446,1001,880,35,0,79
1748877126,885,768,34,0,79
1748880804,844,712,54,0,77
1748884241,926,776,76,0,69
1748888101,1005,847,75,0,80
1748891301,1071,925,76,0,66
1748895099,1095,945,71,0,75
1748898596,1133,972,77,0,77
1748902515,1175,1019,77,0,74
1748905772,1195,1028,78,0,80
