date,bikes_nb,for_rent,disabled,reserved,no_station
1735772894,1393,1193,130,0,68
1735859337,1357,1187,113,0,54
1735945763,1314,1141,119,0,52
1736032069,1313,1137,120,0,54
1736118481,1317,1060,197,0,60
1736204964,1269,1006,211,0,52
1736291284,1225,999,179,0,46
1736377728,1180,972,159,0,49
1736464112,1177,973,147,0,57
1736550536,1145,951,143,0,51
1736636888,1163,924,187,0,51
1736723307,1233,920,253,0,59
1736809690,1190,940,201,0,48
1736896090,1154,973,133,0,48
1736982540,1141,979,118,0,45
1737068958,1136,985,102,0,48
1737155339,1113,956,104,0,51
1737241691,1095,905,132,0,56
1737328044,1127,900,151,0,74
1737414478,1091,896,129,0,63
1737500902,1063,935,88,0,38
1737587305,1096,957,92,0,44
1737673718,1108,936,111,0,59
1737760092,1119,946,117,0,55
1737846508,1187,960,170,0,56
1737932871,1264,933,266,0,64
1738019288,1250,964,220,0,64
1738105680,1273,1065,162,0,44
1738192124,1289,1073,150,0,65
1738278555,1343,1146,129,0,66
1738364884,1356,1184,116,0,55
1738451285,1411,1217,136,0,56
1738537652,1385,1124,204,0,56
1738624122,1351,1096,192,0,61
1738710516,1382,1163,154,0,64
1738796939,1408,1211,129,0,67
1738883429,1355,1160,133,0,60
1738969697,1377,1195,119,0,61
1739056160,1441,1276,93,0,67
1739142536,1378,1159,141,0,73
