date,stations_nb,ready,renting,returning,not_installed,not_renting,not_returning
1735772895,196,196,179,195,0,0,0
1735859337,196,196,174,195,0,0,0
1735945764,196,196,174,195,0,0,0
1736032069,196,196,176,195,0,0,0
1736118482,196,196,171,195,0,0,0
1736204935,196,196,165,194,0,0,0
1736291285,196,196,165,195,0,0,0
1736377710,196,196,161,195,0,0,0
1736464146,196,196,160,195,0,0,0
1736550511,196,196,161,195,0,0,0
1736636885,196,196,163,195,0,0,0
1736723293,196,196,160,195,0,0,0
1736809681,196,196,159,194,0,0,0
1736896069,196,196,159,195,0,0,0
1736982532,196,196,159,195,0,0,0
1737068954,196,196,161,195,0,0,0
1737155317,196,196,162,195,0,0,0
1737241680,196,196,165,196,0,0,0
1737328039,196,196,164,195,0,0,0
1737414473,196,196,161,195,0,0,0
1737500891,196,196,164,195,0,0,0
1737587328,196,196,163,195,0,0,0
1737673718,196,196,161,195,0,0,0
1737760092,196,196,163,195,0,0,0
1737846509,196,196,168,195,0,0,0
1737932872,196,196,166,194,0,0,0
1738019319,196,196,166,194,0,0,0
1738105711,197,197,168,194,0,0,0
1738192115,197,197,170,195,0,0,0
1738278587,197,197,169,196,0,0,0
1738364885,197,197,166,196,0,0,0
1738451285,197,197,175,196,0,0,0
1738537653,197,197,170,196,0,0,0
1738624122,197,197,166,195,0,0,0
1738710516,197,197,169,195,0,0,0
1738796939,197,197,170,195,0,0,0
1738883429,197,197,168,195,0,0,0
1738969697,196,196,171,194,0,0,0
1739056161,196,196,179,194,0,0,0
1739142536,196,196,172,193,0,0,0
1739228979,196,196,169,194,0,0,0
1739315398,196,196,176,195,0,0,0
1739401662,196,196,170,195,0,0,0
1739488131,196,196,164,194,0,0,0
1739574561,196,196,169,195,0,0,0
1739660902,196,196,168,195,0,0,0
1739747289,197,197,169,194,0,0,0
1739833683,197,197,166,194,0,0,0
1739920100,197,197,165,193,0,0,0
1740006510,197,197,166,192,0,0,0
1740092980,197,197,168,191,0,0,0
1740179373,198,198,167,194,0,0,0
1740265678,198,198,169,196,0,0,0
1740352063,198,198,165,196,0,0,0
1740438559,198,198,164,195,0,0,0
1740524897,198,198,165,196,0,0,0
1740611339,198,198,165,196,0,0,0
1740697726,198,198,163,195,0,0,0
1740784128,198,198,161,195,0,0,0
1740870610,198,198,167,195,0,0,0
1740956916,198,198,159,196,0,0,0
1741043334,198,198,160,195,0,0,0
1741129736,198,198,158,195,0,0,0
1741216158,198,198,158,196,0,0,0
1741302540,198,198,164,195,0,0,0
1741388833,198,198,160,195,0,0,0
1741475269,198,198,162,196,0,0,0
1741561641,198,198,168,195,0,0,0
1741648162,198,198,162,195,0,0,0
1741734522,198,198,167,195,0,0,0
